CCode,Country,data_year,IU_2014
AFG,Afghanistan,2014,6.39
ALB,Albania,2014,60.1
DZA,Algeria,2014,18.09
AGO,Angola,2014,21.26
ARG,Argentina,2014,64.7
ARM,Armenia,2014,46.3
AUS,Australia,2014,84.56
AUT,Austria,2014,81
AZE,Azerbaijan,2014,61
BHR,Bahrain,2014,90.99998
BEL,Belgium,2014,85
BEN,Benin,2014,5.3
BFA,Burkina Faso,2014,9.4
BTN,Bhutan,2014,34.37
BLR,Belarus,2014,59.02
BGD,Bangladesh,2014,9.6
BOL,Bolivia,2014,39.02
BIH,Bosnia and Herzegovina,2014,60.8
BWA,Botswana,2014,18.5
BRA,Brazil,2014,57.6
BDI,Burundi,2014,1.38
BGR,Bulgaria,2014,55.49
KHM,Cambodia,2014,9
CAN,Canada,2014,87.12
CMR,Cameroon,2014,11
CPV,Cape Verde,2014,40.26
CAF,Central African Republic,2014,4.03
TCD,Chad,2014,2.5
CHL,Chile,2014,72.35
CHN,China,2014,49.3
COL,Colombia,2014,52.57
COM,Comoros,2014,6.98
COG,Republic of the Congo,2014,7.11
CRI,Costa Rica,2014,49.41
HRV,Croatia,2014,68.57
CUB,Cuba,2014,30
CYP,Cyprus,2014,69.33
CZE,Czech Republic,2014,79.71
DNK,Denmark,2014,95.99
DJI,Djibouti,2014,10.71
DOM,Dominican Republic,2014,49.58
ECU,Ecuador,2014,43
EGY,Egypt,2014,
GNQ,Equatorial Guinea,2014,18.86
ERI,Eritrea,2014,0.99
EST,Estonia,2014,84.24
ETH,Ethiopia,2014,2.9
TLS,East Timor,2014,1.14
FIN,Finland,2014,92.38
FJI,Fiji,2014,41.8
FRA,France,2014,83.75
GAB,Gabon,2014,9.81
GMB,Gambia,2014,15.56
GHA,Ghana,2014,18.9
DEU,Germany,2014,86.19
GNB,Guinea-Bissau,2014,3.32
GRC,Greece,2014,63.21
GEO,Georgia,2014,48.9
GTM,Guatemala,2014,23.4
GIN,Guinea,2014,1.72
GUY,Guyana,2014,37.35
HTI,Haiti,2014,11.4
HND,Honduras,2014,19.08
HUN,Hungary,2014,76.13
IND,India,2014,18
IDN,Indonesia,2014,17.14
IRL,Ireland,2014,79.69
IRN,Iran,2014,39.35
IRQ,Iraq,2014,11.3
ISR,Israel,2014,71.45
ITA,Italy,2014,61.96
CIV,Ivory Coast,2014,14.6
JAM,Jamaica,2014,40.5
JOR,Jordan,2014,44
JPN,Japan,2014,90.58
KEN,Kenya,2014,43.4
KSV,Kosovo,2014,
KWT,Kuwait,2014,78.7
KGZ,Kyrgyzstan,2014,28.3
KAZ,Kazakhstan,2014,54.89
LAO,Laos,2014,14.26
LVA,Latvia,2014,75.83
LBR,Liberia,2014,5.41
LBN,Lebanon,2014,74.7
LSO,Lesotho,2014,11
LBY,Libya,2014,17.76
LTU,Lithuania,2014,72.13
LUX,Luxembourg,2014,94.67
MRT,Mauritania,2014,10.7
MKD,Macedonia,2014, FYR
MDG,Madagascar,2014,3.7
MYS,Malaysia,2014,67.5
MUS,Mauritius,2014,41.44
MWI,Malawi,2014,5.83
MEX,Mexico,2014,44.39
MDA,Moldova,2014,46.6
MLI,Mali,2014,7
MNE,Montenegro,2014,61
MNG,Mongolia,2014,27
MAR,Morocco,2014,56.8
MMR,Myanmar,2014,2.1
MOZ,Mozambique,2014,5.94
NAM,Namibia,2014,14.84
NPL,Nepal,2014,15.44
NZL,New Zealand,2014,85.5
NIC,Nicaragua,2014,17.6
NGA,Nigeria,2014,42.68
NER,Niger,2014,1.95
NOR,Norway,2014,96.3
NLD,Netherlands,2014,93.17
OMN,Oman,2014,70.22
PAK,Pakistan,2014,13.8
PAN,Panama,2014,44.92
PRY,Paraguay,2014,43
PER,Peru,2014,40.2
PHL,Philippines,2014,39.69
PNG,Papua New Guinea,2014,9.38
POL,Poland,2014,66.6
PRT,Portugal,2014,64.59
PRK,North Korea,2014,0
QAT,Qatar,2014,91.49
KOR,South Korea,2014,84.33
ROU,Romania,2014,54.08
RUS,Russia,2014,70.52
RWA,Rwanda,2014,10.6
ZAF,South Africa,2014,49
SLV,El Salvador,2014,29.7
SAU,Saudi Arabia,2014,63.7
SDN,Sudan,2014,24.64
SEN,Senegal,2014,17.7
SRB,Republic of Serbia,2014,53.5
SLE,Sierra Leone,2014,2.1
SGP,Singapore,2014,82
SVK,Slovak Republic,2014,79.98
SVN,Slovenia,2014,71.59
SLB,Solomon Islands,2014,9
SOM,Somalia,2014,1.63
ESP,Spain,2014,76.19
LKA,Sri Lanka,2014,25.8
SSD,South Sudan,2014,15.9
SUR,Suriname,2014,40.08
SWZ,Swaziland,2014,27.1
SWE,Sweden,2014,92.52
CHE,Switzerland,2014,87
SYR,Syria,2014,28.09
TJK,Tajikistan,2014,17.49
TWN,Taiwan,2014,
TZA,Tanzania,2014,4.86
THA,Thailand,2014,34.89
TKM,Turkmenistan,2014,12.2
TGO,Togo,2014,5.7
TTO,Trinidad and Tobago,2014,65.1
TUN,Tunisia,2014,46.16
TUR,Turkey,2014,51.04
ARE,United Arab Emirates,2014,90.4
UGA,Uganda,2014,17.71
GBR,United Kingdom,2014,91.61
UKR,Ukraine,2014,43.4
URY,Uruguay,2014,61.46
USA,United States,2014,87.36
UZB,Uzbekistan,2014,43.55
VEN,Venezuela,2014,57
VNM,Vietnam,2014,48.31
YEM,Yemen,2014,22.55
COD,Democratic Republic of the Congo,2014,3
ZMB,Zambia,2014,17.34
ZWE,Zimbabwe,2014,19.89
ABW,Aruba,2014,83.78
AND,Andorra,2014,95.9
ATG,Antigua and Barbuda,2014,64
BHS,The Bahamas,2014,76.92
BLZ,Belize,2014,38.7
BMU,Bermuda,2014,96.8
BRB,Barbados,2014,76.67
BRN,Brunei,2014,68.77
CUW,Curacao,2014,
CYM,Cayman Islands,2014,74.1
DMA,Dominica,2014,62.86
FCS,Fragile and conflict affected situations,2014,11.53125456
FRO,Faeroe Islands,2014,94.66
FSM,Micronesia,2014,
GRD,Grenada,2014,37.38
IMN,Isle of Man,2014,
ISL,Iceland,2014,98.16
KIR,Kiribati,2014,12.25
KNA,St. Kitts and Nevis,2014,65.4
LCA,St. Lucia,2014,51
LIE,Liechtenstein,2014,95.21
MAF,St. Martin (French part),2014,
MCO,Monaco,2014,92.4
MDV,Maldives,2014,49.28
MHL,Marshall Islands,2014,16.8
MLT,Malta,2014,73.17
MNP,Northern Mariana Islands,2014,
NCL,New Caledonia,2014,70
PLW,Palau,2014,
PYF,French Polynesia,2014,60.68
SMR,San Marino,2014,
STP,Sao Tome and Principe,2014,24.41
SYC,Seychelles,2014,54.26
TCA,Turks and Caicos Islands,2014,
TON,Tonga,2014,40
TUV,Tuvalu,2014,
VCT,St. Vincent and the Grenadines,2014,56.48
VIR,Virgin Islands (U.S.),2014,50.07
VUT,Vanuatu,2014,18.8
WSM,Samoa,2014,21.2
